,price_usd_per_m2,property_type,place_name,surface_total_in_m2,surface_covered_in_m2,ambientes,parrilla
22639,2763.888888888889,apartment,Recoleta,36.0,36.0,1.0,0
22641,3459.999736842105,apartment,Belgrano,38.0,32.0,1.0,0
22643,4571.428571428572,apartment,Palermo,49.0,42.0,2.0,0
22644,3254.7671232876714,apartment,Caballito,73.0,65.0,4.0,0
22646,2707.722222222222,apartment,San Telmo,54.0,49.0,3.0,0
22647,3657.841111111111,apartment,Belgrano,36.0,31.0,1.0,0
22649,3379.356164383561,apartment,Caballito,73.0,64.0,3.0,0
22652,2872.340425531915,apartment,Belgrano,47.0,45.0,1.0,0
22654,3230.921052631579,apartment,Palermo,38.0,33.0,1.0,0
22655,2976.190476190476,apartment,Belgrano,42.0,38.0,1.0,0
22658,3110.8780487804884,apartment,Palermo,41.0,30.0,1.0,0
22659,3864.864864864865,apartment,Belgrano,185.0,175.0,1.0,0
22660,2651.5151515151515,apartment,Recoleta,132.0,122.0,4.0,0
22662,2795.254901960784,apartment,San Telmo,51.0,46.0,3.0,0
22663,4069.230769230769,apartment,Palermo,130.0,120.0,3.0,0
22665,2789.8627450980393,apartment,San Telmo,51.0,46.0,3.0,0
22667,2784.470588235294,apartment,San Telmo,51.0,46.0,3.0,0
22668,3460.396039603961,apartment,Belgrano,202.0,180.0,4.0,1
22669,2784.470588235294,apartment,San Telmo,51.0,46.0,3.0,0
22671,2789.4736842105267,apartment,Belgrano,57.0,55.0,3.0,0
22672,2770.1851851851848,apartment,San Telmo,54.0,49.0,3.0,0
22674,3286.5438596491217,apartment,Caballito,57.0,51.0,4.0,0
22675,2487.5,apartment,Villa Urquiza,80.0,78.0,3.0,0
22677,3500.0,apartment,Colegiales,50.0,46.0,2.0,1
22678,3093.75,apartment,San Telmo,32.0,32.0,1.0,1
22680,3379.356164383561,apartment,Caballito,73.0,64.0,3.0,0
22681,2514.285714285714,apartment,Villa Urquiza,35.0,35.0,2.0,0
22684,3323.4657534246576,apartment,Caballito,73.0,65.0,4.0,0
22690,3283.161904761905,apartment,Caballito,105.0,93.0,3.0,0
22693,2653.061224489796,apartment,Saavedra,49.0,43.0,2.0,0
22697,3250.0,apartment,Retiro,80.0,74.0,4.0,0
22698,2580.232558139535,apartment,Caballito,43.0,36.0,1.0,0
22700,2746.133333333333,apartment,Caballito,30.0,25.0,4.0,0
22701,2648.953488372093,apartment,Caballito,43.0,36.0,1.0,0
